ɑ̃,,,-,-,-,,-,"an, en",-,-,-,-,-,-,-,-,-,-,-
ɛ̃,,,-,-,Teint,e-N,-,vin,-,-,-,-,-,-,-,-,-,-,-
ɔ̃,,,-,-,-,,-,on,-,-,-,-,-,-,-,-,-,-,-
œ̃,,,-,-,-,,-,un,-,-,-,-,-,-,-,-,-,-,-
ĩ,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,sinto,-
ẽ,,,-,-,-,,-,vin10,-,-,-,-,-,-,-,-,-,sento,-
ɐ̃,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,santo,-
ũ,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,dum,-
õ,,,-,-,Champignon4,Y-O,-,son,-,-,-,-,-,-,-,-,-,dom,-
ã,,,-,-,Champignon4,|-M,-,maman11,-,-,-,-,-,-,-,-,-,-,-
IPA,,,English,Dutch,German,,Spanish,French,Italian,Catalan,Russian,Swedish,Vietnamese,Korean,Greek,Arabic,Japanese,Portuguese,Finnish
p,P,,spin,pen,Pracht,P,papa,paix,papa,papa,папа,spotta,pin,바,παπάς,-,さんぽ,pato,poika
pʰ,"P,P-H",,pin,-,Post,"P,P-H",-,-,-,-,-,potta,-,파,-,-,-,-,-
b,B,,"but, butt",best,Ball,B,beso,boule,bene,bo,бабушка,bil,-,-,μπύρα,-,ぼうりょく,bato,bileet
t,T,,stop,tot,Treppe,T,tocar,tarif,tempo,tot,телефон,tå,tự,다,μητέρα,-,たけ,tato,lista
tʰ,"T,T-H",,top,-,Tier,T,-,-,-,-,-,stå,thu,타,-,-,-,-,-
d,D,,do,dode,die,D,donde,dent,donna,dau,дома,dam,-,-,ντομάτα,-,だけ,dato,disko
t͡ʃ,C,,"chair, picture","tsjilp, chips4",Deutsch,C,mucho,Tchad,cena,-,-,-,-,-,-,-,-,tcheco,-
d͡ʒ,J,,"gin, joy",jeans,Dschungel,J,-,jazz,giorno,-,-,-,-,-,-,-,-,dia,-
c,,,-,-,-,,-,-,-,-,-,-,cha,-,και,-,-,-,yhtä
ɟ,,,-,-,-,,-,-,-,-,-,-,-,-,γκιόνης,-,-,-,-
k,K,,"scan, take","kom, café",Kraft,K,carro,coq,capo,cop,как,skål,ca,가,κάτω,-,かく,cato,kenkä
kʰ,"K,K-H",,"cat, cry, queen",-,komm,"K,K-H",-,-,-,-,-,kål,khách,카,-,-,-,-,-
ɡ,G,,"go, get","zakdoek, goal",geht,G,ganar,gauche,grillo,gat,говорить,går,-,-,γκάζι,-,がく,gato,genomi
q,,,-,-,-,,-,-,-,-,-,-,-,-,-,قاف,-,-,-
ɸ,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,"ふくろう,富士山",-,-
β,,,-,-,-,,cabo,-,-,bava,-,-,-,-,-,-,"きぼう4,ライヴ",sabre,-
f,F,,"fool, enough",fiets,"fünf, vier",F,fuerte,fort,fresco,fort,фамилия,fas,phở,-,φέτα,-,-,fato,fyrkka
v,V,,voice,vogel,Welt,V,-,vivre,via,afganès,вода,vas,vũ,-,βόδι,-,-,vela,viisi4
θ,Ŧ-H,,thing,-,-,,caza3,-,-,-,-,-,-,-,θέμα,-,-,-,-
ð,đ-H,,this,-,-,,cada3,-,-,fada,-,-,-,-,δέμα,-,-,-,-
s,S,,"see, pass, city","steen, recent, actie","groß, fluss",S,sí,sauter,suono,"sal, ce, piscina, massa,",себя,sil,"xanh xao",사,μισώ,-,さいだん,sela,sinä
z,Z,,"zoo, roses",zee,See,Z,mismo,"zèle, rose","rosa, sbarra","casa, zona",зоопарк,-,giữa,-,μαζεύω,-,ざいだん,zela,-
ʃ,S-H,,"she, sure, emotion","meisje, sheriff, chips4",Geschäft,S-H,-,chemin,scendo,"caixa, xarxa",-,sju4,-,-,-,-,-,chela,šeikki
ʒ,Z,,pleasure,genre,Etage,Z-H,-,jour,-,"gent, joia",-,-,-,-,-,-,-,gela,-
ʂ,,,-,-,-,,-,-,-,-,шахматы,"sju4, kors",sắc,-,-,-,-,-,-
ʐ,,,-,-,-,,-,-,-,-,тяжёлый,-,ra,-,-,-,-,-,-
ç,H,,huge-,"licht, weg",ich,H,-,-,-,-,-,-,-,-,χέρι,-,ひと,-,-
ɕ,,,-,-,-,,-,-,-,-,женщина,kär,-,시각,-,-,しる,-,-
ʑ,,,-,-,-,,-,-,-,-,сжимать,-,-,-,-,-,富士山,-,-
ʝ,,,-,-,-,,saya,-,-,-,-,-,-,-,για,-,-,-,-
x,K,,loch4,"lach, dag",Buch,K-H,ajo,-,-,-,характер,-,khách,-,χάνω,-,-,-,kahta
ɧ,,,-,-,-,,-,-,-,-,-,sju,-,-,-,-,-,-,-
ɣ,,,-,gaan6,-,,miga,-,-,vaga,-,-,gà,-,γάτα,-,はげ4,-,-
h,H,,ham,-,-,,-,-,-,-,-,hel,hay,함,-,-,はげ,-,heinä
ɦ,H,,ahead4,hand,Hand,H,-,-,-,-,-,-,-,-,-,-,-,-,maha
m,M,,mare,man,man,M,mano,dame,mese,mot,мама,mil,máy,마,αίμα,-,"めん,さんぽ",mato,musta
ɱ,M,,emphasis,omvallen6,-,,infierno,-,enfasi,amfibi,-,-,-,-,έμφαση,-,-,-,informaatio
n,N,,no,nu,nach,N,no,nez,nota,nas,ночь,nos,nó,나,άνω,-,のうりょく,nato,kani
ɲ,N-Y,,canyon2,kanjer,-,,año,oignon,gnocchi,canya,-,-,"nhanh, sinh",-,πανιά,-,-,rainha,-
ŋ,N-G,,"singer, ring","ring, pink",Finger,N-G,tengo,"parking, camping",anche,llengua,-,ring,"xẻng, ngon, nghĩ",앙,άγχος,-,"あんごう,あんごう4",-,sanko
ɴ,,,-,-,-,,enjuto,-,-,-,-,-,-,-,-,-,"ふじさん,あんちゃん",-,-
l,L,,left,leeft,lauft,L,largo,leur,largo,laboral,-,pil,lễ,-,καλός,-,-,calo,kala
ʎ,,,-,-,-,,ella3,-,aglio,"llarg, colla, vell",-,-,-,-,κιάλια,-,-,calho,-
ɫ,L-L,,pill,-,-,,-,-,-,-,палка,-,-,-,-,-,-,calo8,-
ɾ,D,UNCLEAR,better2,-,-,,pero,-,però4,cara,-,-,-,우리,πάρα,-,-,caro,-
r,,,-,riet4,-,,perro,-,rotondo,"rata, sorra",кора,ros,-,-,-,-,-,carro,raha
ɻ,,,"run, very2",-,-,,-,-,-,-,-,-,răng,-,-,-,-,-,-
ʁ,,,-,-,dort,Ø,-,"air, rond",-,-,-,-,-,-,-,-,-,carro,-
ʀ,,,-,"hier, riet4",Reich,R,-,,-,-,-,-,-,-,-,-,-,-,-
ɺ,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,ありがとう,-,-
w,,,we,wie,-,,hueso,oui,uovo,dau,-,-,oanh,와,-,-,わ,pau,-
ɥ,,,-,-,-,,-,huit,-,-,-,-,-,-,-,-,-,-,-
j,,,yes,ja,ja,Y,pie,yaourt,ieri,iot,толстый,jag,da,야,-,-,ゆうき,caixa,jalka
ʋ,,,-,wang4,-,,-,-,-,-,-,-,-,-,-,-,-,-,viisi4
